,nan,nan,platform.BAT.batteryCurrentDir,platform.BAT.batteryCurrent[0:2],platform.BAT.batteryVoltage[0:2],platform.EPS.switchVoltages[0:9],platform.EPS.switchCurrents[0:9],platform.EPS.actualSwitchStatesBitmap,platform.EPS.expectedSwitchStatesBitmap,platform.EPS.solarArrayCurrents[0:4],platform.EPS.solarArrayVoltages[0:2],platform.EPS.busVoltages[0:3],platform.EPS.busCurrents[0:3],platform.EPS.busCurrentDraws[0:1],platform.ADCS.busCurrents[0:2],platform.ADCS.busVoltages[0:2],platform.ADCS.sensorCurrent,platform.ADCS.mtqCurrent,platform.CMC.current3V3,platform.CMC.current5V,platform.CMC.voltage3V3,platform.CMC.voltage5V,obsw.platform.obc.TelemetryADCA.channelOutput[3],obsw.platform.obc.TelemetryADCA.channelOutput[0],obsw.platform.obc.TelemetryADCA.channelOutput[1],obsw.platform.obc.TelemetryADCA.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[0],obsw.platform.obc.TelemetryADCB.channelOutput[1],obsw.platform.obc.TelemetryADCB.channelOutput[2],obsw.platform.obc.TelemetryADCB.channelOutput[3],obsw.platform.obc.TelemetryADCC.channelOutput[1],obsw.platform.obc.TelemetryADCC.channelOutput[2],obsw.platform.obc.TelemetryADCC.channelOutput[5],obsw.platform.obc.TelemetryADCB.channelOutput[4],obsw.platform.obc.TelemetryADCC.channelOutput[6],obsw.platform.obc.TelemetryADCB.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[6],obsw.platform.obc.TelemetryADCA.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[3],cdh.telemetry.DataPool.paramValid
15,3938251,65350,1,31465495,811428756,3717313510370549625788310530,2478300296007182260738465794,420,420,4787848348682,449202428,974699459449,11859419138,11272,64003698265596,141212219942596,6914,305,17583,65501,1258,823,2151,2147,1128,3356,3347,477,3342,318,1648,3,2166,26,3375,5,2313,34,2437,2296,11111111111111111111
16,3938311,65351,1,31465484,810379152,2479366387535445045346575362,2478300297160101566324154370,420,420,5500805984556,277198550,969330750328,11868956674,11271,68693810155137,141040438093512,5303,695,32767,8508,1249,823,2144,2139,1135,3356,3347,476,3341,319,1648,3,2157,26,3375,4,2304,34,2437,2301,11111111111111111111
17,3938371,65352,1,31465495,811428756,3717317049839569868319106050,2478300297160103765346361346,420,420,4728763270157,439789820,980068169592,11858371586,11272,79697510206998,141134920296002,8180,189,17654,65501,1258,828,2162,2157,1122,3357,3348,478,3342,319,1648,3,2161,25,3376,5,2307,33,2439,2304,11111111111111111111
18,3938431,65353,1,30416909,811428754,2479377012860032601559933954,2478300297160102665834733570,420,420,5504034454562,287754915,977920685945,11858371586,11271,75428315991675,140855741327062,8854,151,17642,65501,1258,828,2163,2157,1121,3357,3347,479,3342,319,1648,3,2175,26,3376,5,2309,33,2436,2291,11111111111111111111
19,3938491,65354,1,31465489,812477331,3717317052145412877533848578,2478300297160103765346361345,420,420,5600669078555,371562749,980068169592,12933160962,11272,68865605373305,141031831840306,9073,252,17928,65501,1259,828,2162,2157,1123,3357,3348,478,3342,318,1648,3,2176,26,3376,8,2312,33,2438,2304,11111111111111111111
20,3938551,65355,0,31465491,812478349,6193197130716173426258355202,2478300297160101566323105794,420,420,5899170095143,387269402,977920685945,11859419138,11272,77133409226396,140576563013173,9052,533,17618,65501,1258,828,2163,2157,1122,3357,3347,477,3342,317,1647,3,2176,26,3376,5,2308,33,2438,2304,11111111111111111111
21,3938611,65356,1,31465491,812477332,2479377012860032601560982530,2477091371340489136170606594,420,420,5501854516238,277253934,980068169592,12934209538,11271,67873464913581,140877224355444,9000,223,17606,65501,1258,828,2154,2149,1129,3356,3346,478,3342,318,1647,3,2168,26,3376,5,2315,34,2438,2298,11111111111111111111
22,3938671,65357,1,30416914,812477332,2479377012860032602634724354,2478300297160102665834733570,420,420,4732073542670,446068523,977920685944,11859420162,11271,64566346190489,140482092279504,5415,403,17606,65501,1258,828,2163,2158,1123,3357,3347,481,3342,320,1648,3,2176,26,3376,5,2317,33,2436,2299,11111111111111111111
23,3938731,65358,1,31465490,811428756,3717317052145412877533848578,2478301476598802978150817794,420,420,5505092489230,297172807,977920685945,11858371586,11271,66731003219472,141126328067710,7614,159,17595,65501,1258,828,2161,2156,1130,3357,3348,480,3342,320,1647,3,2175,26,3377,5,2309,34,2436,2292,11111111111111111111
24,3938791,65359,1,31465489,811428756,3717318232737033593871410178,2478300297160104864856940546,420,420,4692256041998,429299487,977920685944,11858372610,11271,70755385019945,141087677752947,9160,463,17595,65501,1258,828,2163,2158,1122,3357,3348,477,3342,318,1647,3,2176,27,3376,5,2312,34,2437,2295,11111111111111111111
25,3938851,65360,1,31465485,812477331,6193197130716173426258355202,2478300296007182260739514370,420,420,5521250982939,342273661,977920686968,11859419138,11271,68045271665943,141177879471780,7058,199,17595,65501,1258,828,2163,2158,1123,3358,3347,477,3342,318,1647,3,2176,26,3376,5,2315,34,2438,2298,11111111111111111111
26,3938911,65361,1,31465489,811428756,3717317052145412877532798978,2478301477751723383246036994,420,420,4414202219534,375789354,977920685944,11858371586,11272,69458312302188,140997485471444,9139,336,17595,65501,1258,828,2163,2158,1125,3357,3347,478,3342,318,1647,3,2176,26,3376,4,2305,33,2437,2301,11111111111111111111
27,3938971,65362,0,31465488,812477329,2479377012860031503123096578,2478301477751723383247084546,420,420,5807870621710,437678854,977921734521,11858371586,11271,65502651616572,140641006134972,6303,643,17595,65501,1258,828,2164,2158,1128,3357,3348,480,3342,320,1646,3,2177,26,3377,5,2307,34,2438,2303,11111111111111111111
28,3939031,65363,1,31465488,812477332,2479377012860032601560982530,2477091371340490235683281922,420,420,5510444423182,317091646,977920685944,10784629762,11272,72224268422697,141233716143675,8298,326,17595,65501,1258,828,2163,2158,1126,3357,3347,481,3342,321,1646,3,2177,26,3377,5,2308,34,2437,2305,11111111111111111111
29,3939091,65364,1,31465487,812477332,3717317052145412877533848578,2478300296007181161227886594,420,420,4724514358286,439758616,971478235000,11858371586,11271,58716603288981,140499267036819,5798,235,17606,65507,1258,828,2164,2158,1123,3357,3348,478,3342,318,1646,3,2177,26,3376,15,2307,34,2437,2302,11111111111111111111
30,3939151,65365,1,31466511,811428757,6193197130716173426258355202,2478301477751723383246036994,420,420,5511526532110,319184617,978994427769,11859420162,11272,65425342598564,141049018721973,5916,346,17606,65501,1258,828,2163,2158,1123,3357,3348,477,3342,318,1645,3,2177,26,3377,5,2308,34,2437,2305,11111111111111111111
31,3939211,65366,1,31465487,811428756,3717318232737033593871410178,2478300297160103765346361346,420,420,4678294260750,417747462,974699460472,12933161986,11272,73156275277161,141225120900671,8692,228,17606,65501,1258,829,2164,2158,1128,3358,3347,477,3343,318,1645,3,2178,26,3377,5,2306,34,2436,2304,11111111111111111111
32,3939271,65367,1,31465486,811429781,2479372290493549731915768834,2478300297160102665834733570,420,420,5642539687952,362158333,978994427768,12933161986,11272,75570052206071,140920166753957,8936,517,17618,65501,1258,829,2164,2158,1128,3358,3347,478,3342,319,1645,3,2177,27,3377,4,2308,33,2437,2304,11111111111111111111
33,3939331,65368,1,31465486,811429780,2479377012860032602634724354,2478300296007181161227886594,420,420,5507236803598,301348659,977919637368,12932112386,11272,70690971192646,141272370259590,7507,739,17618,65501,1258,828,2164,2158,1124,3358,3347,480,3342,320,1644,3,2178,26,3377,5,2316,33,2437,2299,11111111111111111111
34,3939391,65369,1,31465486,811429778,2479378193451653318972285954,2478300296007182260738465794,420,420,5781027106836,434532604,978994427768,12933161986,11272,63170483129633,140671069464134,5547,250,17618,65501,1258,828,2164,2158,1125,3358,3348,477,3343,318,1644,3,2178,26,3378,5,2309,34,2437,2306,11111111111111111111
35,3939451,65370,1,31465486,811427733,6193197130716173427332097026,2478300297160102665834733570,420,420,5520108071950,333858629,978994427769,11858371586,11271,65433932467524,141001776703182,7251,291,17630,65501,1258,828,2164,2158,1128,3358,3348,476,3343,318,1643,3,2178,26,3378,5,2306,34,2436,2304,11111111111111111111
36,3939511,65371,1,31465485,811428757,2479377014012954106167829506,2478300297160103765345312770,420,420,4704064010254,432416513,976846944121,11858370562,11271,67113259371924,140821397644988,6865,401,17630,65501,1258,828,2164,2158,1131,3358,3348,479,3342,319,1643,3,2179,26,3378,4,2310,32,2437,2306,11111111111111111111
37,3939571,65372,1,31465485,812477333,3717317053298334382140695554,2478300297160101566323105794,420,420,5520117491727,330711292,974700509048,11858371586,11272,67809038175609,141126334162507,8416,250,17642,65501,1258,828,2164,2158,1131,3358,3348,480,3342,320,1642,3,2179,26,3378,5,2308,34,2438,2305,11111111111111111111
38,3939631,65373,1,31465484,812477333,2479378193451653318972285954,2478300296007183360251142146,420,420,5742372424718,402012948,972551976825,12932113410,11272,63136123653376,141190761424505,7498,896,17642,65501,1258,828,2164,2159,1124,3358,3347,478,3342,319,1642,3,2179,26,3378,5,2311,34,2437,2308,11111111111111111111
39,3939691,65374,1,31465484,812477333,2479378193451652220533351426,2478300297160103765346361346,420,420,5773543360526,415643386,977921734520,12933160962,11272,67727440678335,140988895733462,7163,255,17654,65501,1258,828,2164,2159,1130,3358,3348,481,3342,318,1641,3,2179,26,3378,15,2314,34,2437,2295,11111111111111111111
40,3939751,65375,1,31465484,812477333,6193198312460715649350247426,2478300297160103765346361346,420,420,5514739346446,325476132,977920685944,11858370562,11272,69660172422526,140924475155975,8730,109,17666,65501,1258,828,2164,2159,1128,3358,3348,477,3343,317,1641,3,2179,26,3378,5,2315,34,2438,2302,11111111111111111111
41,3939811,65376,1,31465484,812477333,2479374651676791167811068930,2478300297160101566322057218,420,420,4678294215694,434524938,980068169592,11858370562,11271,73173449444861,141130628933229,9143,544,17666,65501,1258,828,2164,2159,1127,3358,3348,478,3342,318,1640,3,2179,26,3376,5,2314,34,2437,2297,11111111111111111111
42,3939871,65377,1,31465484,811428757,2479378193451653318972285954,2478300297160101566323105794,420,420,5557701551118,347492160,977920685944,11859419138,11272,69986593213850,141220830783067,7873,112,17678,65501,1258,828,2164,2159,1125,3358,3348,479,3342,319,1639,3,2180,26,3376,5,2315,34,2437,2297,11111111111111111111
