,nan,nan,platform.BAT.batteryCurrentDir,platform.BAT.batteryCurrent[0:2],platform.BAT.batteryVoltage[0:2],platform.EPS.switchVoltages[0:9],platform.EPS.switchCurrents[0:9],platform.EPS.actualSwitchStatesBitmap,platform.EPS.expectedSwitchStatesBitmap,platform.EPS.solarArrayCurrents[0:4],platform.EPS.solarArrayVoltages[0:2],platform.EPS.busVoltages[0:3],platform.EPS.busCurrents[0:3],platform.EPS.busCurrentDraws[0:1],platform.ADCS.busCurrents[0:2],platform.ADCS.busVoltages[0:2],platform.ADCS.sensorCurrent,platform.ADCS.mtqCurrent,platform.CMC.current3V3,platform.CMC.current5V,platform.CMC.voltage3V3,platform.CMC.voltage5V,obsw.platform.obc.TelemetryADCA.channelOutput[3],obsw.platform.obc.TelemetryADCA.channelOutput[0],obsw.platform.obc.TelemetryADCA.channelOutput[1],obsw.platform.obc.TelemetryADCA.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[0],obsw.platform.obc.TelemetryADCB.channelOutput[1],obsw.platform.obc.TelemetryADCB.channelOutput[2],obsw.platform.obc.TelemetryADCB.channelOutput[3],obsw.platform.obc.TelemetryADCC.channelOutput[1],obsw.platform.obc.TelemetryADCC.channelOutput[2],obsw.platform.obc.TelemetryADCC.channelOutput[5],obsw.platform.obc.TelemetryADCB.channelOutput[4],obsw.platform.obc.TelemetryADCC.channelOutput[6],obsw.platform.obc.TelemetryADCB.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[6],obsw.platform.obc.TelemetryADCA.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[3],cdh.telemetry.DataPool.paramValid
187,3948571,65522,0,31465494,812477317,3717299343271102115290555394,2478300296007181161226838018,420,420,1100586419201,1049601,961814558584,11859420162,11271,66735307033975,140683952399961,6117,177,17678,65501,1259,829,2126,2121,1147,3357,3348,480,3342,320,1641,3,2141,26,3379,5,2308,34,2438,2305,11111111111111111111
188,3948631,65523,0,31465494,812478341,2479358123394101122980127746,2478300297160104864856940546,420,420,1100586419201,1049601,961814558584,11859419138,11271,71867783843319,141238010127952,8090,545,17666,65501,1259,829,2125,2120,1142,3357,3348,479,3342,319,1642,3,2141,26,3378,4,2313,34,2438,2295,11111111111111111111
189,3948691,65524,0,31465494,812477317,3717298161526558793759728642,2478300297160102665834732546,420,420,1100586419201,1049601,960740816761,11859420162,11271,72688119123434,141238009276040,8784,287,17654,65501,1259,829,2124,2120,1149,3356,3348,478,3342,318,1643,3,2140,25,3377,15,2315,33,2437,2296,11111111111111111111
190,3948751,65525,0,31465494,812477316,6193178241250241948751242242,2478301477751724482756617218,420,420,1100586419201,1050625,960741865337,11859419138,12295,71816252493190,141023246165672,8790,331,17642,65501,1259,829,2124,2119,1141,3357,3348,477,3343,318,1643,3,2139,26,3378,5,2308,33,2437,2305,11111111111111111111
191,3948811,65526,0,31465494,813526916,3717298162679480299441366018,2478300296007181161227886594,420,420,1100586419201,1049601,962888300408,11859419138,11271,64081015672160,140293112473193,5640,139,17642,65501,1259,829,2123,2119,1147,3356,3348,477,3343,318,1644,3,2138,26,3377,4,2307,33,2436,2304,11111111111111111111
192,3948871,65527,0,31465494,812477316,3717296982087860681541690370,2478300297160101566322056194,420,420,2201171788801,2098177,959667074936,12933160962,11271,73577188429249,140980290135654,9091,532,17630,65501,1259,829,2122,2118,1143,3356,3347,481,3343,320,1645,3,2137,26,3377,4,2306,34,2437,2303,11111111111111111111
193,3948931,65528,0,31465494,812477316,3717296982087860681541690370,2478300297160103765345312770,420,420,1100652542977,1059842,959667074936,11858370562,11272,76583665405466,140898696832706,7700,486,17618,65501,1259,829,2122,2117,1143,3356,3348,479,3342,320,1645,3,2137,26,3377,5,2306,34,2438,2302,11111111111111111111
194,3948991,65529,0,31465487,812478342,3717311149187309289403588610,1240360257874724589957816322,420,420,5582384809985,393565186,971478235001,11859420162,11272,73190630821430,140894409533108,8904,232,17606,65501,1258,828,2151,2145,1133,3357,3348,478,3342,318,1647,3,2164,26,3377,4,2317,34,2438,2300,11111111111111111111
195,3949051,65530,1,31465500,811428754,7431130086451829396689658882,2478300297160104864857989122,420,420,5499707039997,275113700,971478235001,11859420162,11271,76905783823982,141100561540818,7174,573,17595,65501,1258,828,2147,2143,1140,3357,3348,477,3342,318,1647,3,2161,26,3376,5,2307,34,2436,2304,11111111111111111111
196,3949111,65531,1,31465495,811428754,3717311149187309289403589634,2478300297160104864856940546,420,420,4716949045253,397787147,971478235000,11855224834,12295,60937101184500,140804207683170,5420,199,17583,65501,1258,828,2149,2144,1130,3357,3348,479,3342,319,1648,3,2163,26,3376,5,2314,34,2437,2296,11111111111111111111
197,3949171,65532,1,31465487,811428752,2479374651676791167811067906,2478301477751723383244988418,420,420,5645735788805,389398616,974699460472,11858371586,11271,63110353653303,140202918487745,5857,553,17571,65507,1258,828,2156,2151,1126,3357,3348,480,3342,320,1647,3,2169,26,3376,5,2312,34,2438,2294,11111111111111111111
198,3949231,65533,1,31465488,811428753,2479374651676791166738375682,2478300297160103765346361346,420,420,5530845542774,366334071,975773202296,11859421186,11272,64480446582248,141139214214610,7901,218,17559,65501,1258,828,2159,2153,1126,3357,3348,480,3342,320,1648,3,2172,26,3376,4,2315,34,2438,2297,11111111111111111111
199,3949291,65534,1,31465499,811428755,3717318232737033594945152002,2478300297160102665833684994,420,420,5901363708929,451225603,977920685944,11859420162,11272,78464855838269,141182156482263,9064,187,17559,65501,1258,829,2161,2156,1122,3357,3347,483,3342,321,1648,3,2175,26,3375,14,2314,33,2437,2296,11111111111111111111
200,3949351,65535,1,31465498,811427731,6193194769532930892997862402,2478300297160102665834733570,420,420,5499707179032,276157650,975773202296,11858371586,11271,65378094353986,141143517439446,8140,585,17559,65501,1259,828,2156,2151,1127,3357,3348,477,3341,318,1648,3,2169,26,3376,5,2312,34,2437,2295,11111111111111111111
201,3952291,65584,1,31465481,812477333,3717318233889955098478257155,2478300297160102665834733570,420,420,5688685372438,388375696,978994427769,12932113410,11272,63960755932332,140937356191444,8678,498,17809,65501,1258,828,2165,2159,1133,3360,3348,490,3342,318,1632,3,2179,26,3377,16,2305,33,2438,2301,11111111111111111111
202,3952291,65584,1,31465481,812477333,3717318233889955098478257155,2478300297160102665834733570,420,420,5688685372438,388375696,978994427769,12932113410,11272,63960755932332,140937356191444,8678,498,17809,65501,1258,828,2165,2159,1133,3360,3348,490,3342,318,1632,3,2179,26,3377,16,2305,33,2438,2301,11111111111111111111
203,3952351,65585,1,31465481,812477333,7431138350593174419642524675,2478300296007183360251142145,420,420,4692262257665,417671173,978994427769,11859419138,11272,74307321728251,140928771761856,9212,196,17809,65501,1258,828,2165,2159,1134,3358,3348,477,3343,318,1631,3,2179,26,3378,4,2307,34,2438,2305,11111111111111111111
204,3952351,65585,1,31465481,812477333,7431138350593174419642524675,2478300296007183360251142145,420,420,4692262257665,417671173,978994427769,11859419138,11272,74307321728251,140928771761856,9212,196,17809,65501,1258,828,2165,2159,1134,3358,3348,477,3343,318,1631,3,2179,26,3378,4,2307,34,2438,2305,11111111111111111111
205,3952411,65586,1,31465481,811429781,3716109306917418965769397251,2478300297160103765346361346,420,420,5500780727310,277236489,981141911416,11859420162,11271,75376778022077,141036142929618,8633,304,17821,65501,1258,828,2165,2159,1133,3358,3348,477,3342,318,1630,3,2179,26,3378,4,2310,34,2439,2308,11111111111111111111
206,3952411,65586,1,31465481,811429781,3716109306917418965769397251,2478300297160103765346361346,420,420,5500780727310,277236489,981141911416,11859420162,11271,75376778022077,141036142929618,8633,304,17821,65501,1258,828,2165,2159,1133,3358,3348,477,3342,318,1630,3,2179,26,3378,4,2310,34,2439,2308,11111111111111111111
207,3952471,65587,1,31465481,811429781,2479377012860032602634724355,2478300296007181161226838018,420,420,5777805825025,426089478,977919637368,12933161986,11272,78598000741712,141173585553076,8703,383,17821,65501,1258,828,2165,2160,1141,3358,3348,479,3343,319,1630,3,2179,26,3379,5,2309,34,2438,2306,11111111111111111111
208,3952471,65587,1,31465481,811429781,2479377012860032602634724355,2478300296007181161226838018,420,420,5777805825025,426089478,977919637368,12933161986,11272,78598000741712,141173585553076,8703,383,17821,65501,1258,828,2165,2160,1141,3358,3348,479,3343,319,1630,3,2179,26,3379,5,2309,34,2438,2306,11111111111111111111
209,3952531,65588,1,31465480,812477333,3717317052145412877533848579,2478300296007182260740562945,420,420,5499706974222,276170543,977920685944,12933161986,11271,62070973664595,140709717354199,9134,365,17833,65501,1258,829,2163,2157,1137,3359,3348,481,3343,320,1630,3,2177,26,3379,4,2314,34,2437,2296,11111111111111111111
210,3952531,65588,1,31465480,812477333,3717317052145412877533848579,2478300296007182260740562945,420,420,5499706974222,276170543,977920685944,12933161986,11271,62070973664595,140709717354199,9134,365,17833,65501,1258,829,2163,2157,1137,3359,3348,481,3343,320,1630,3,2177,26,3379,4,2314,34,2437,2296,11111111111111111111
211,3952591,65589,1,31465481,812477333,3717318232737032495433524227,2478300296007184459762769922,420,420,4571993884693,385231893,978995476344,11859419138,11271,75892178357611,140537931966166,9408,208,17845,65501,1258,828,2165,2160,1137,3359,3348,478,3343,318,1629,3,2179,26,3378,5,2315,34,2439,2298,11111111111111111111
212,3952591,65589,1,31465481,812477333,3717318232737032495433524227,2478300296007184459762769922,420,420,4571993884693,385231893,978995476344,11859419138,11271,75892178357611,140537931966166,9408,208,17845,65501,1258,828,2165,2160,1137,3359,3348,478,3343,318,1629,3,2179,26,3378,5,2315,34,2439,2298,11111111111111111111
213,3952651,65590,1,31465480,812477333,6193198312460715649349198851,2478300296007180061716258818,420,420,4624607175915,438640719,978994427769,11859420162,11271,75608707435818,140976012863172,7006,504,17845,65501,1258,828,2165,2160,1139,3359,3348,477,3342,317,1629,3,2180,26,3378,5,2306,34,2439,2303,11111111111111111111
214,3952651,65590,1,31465480,812477333,6193198312460715649349198851,2478300296007180061716258818,420,420,4624607175915,438640719,978994427769,11859420162,11271,75608707435818,140976012863172,7006,504,17845,65501,1258,828,2165,2160,1139,3359,3348,477,3342,317,1629,3,2180,26,3378,5,2306,34,2439,2303,11111111111111111111
215,3952711,65591,0,31465494,812477326,3717308788004067855654724611,2478300297160104864857989122,420,420,6603514318857,4278286,970404492152,11859420162,11271,74436183788784,141229400794710,6874,403,17845,65501,1259,829,2146,2141,1147,3358,3348,479,3342,319,1628,3,2161,25,3378,5,2310,33,2438,2306,11111111111111111111
216,3952711,65591,0,31465494,812477326,3717308788004067855654724611,2478300297160104864857989122,420,420,6603514318857,4278286,970404492152,11859420162,11271,74436183788784,141229400794710,6874,403,17845,65501,1259,829,2146,2141,1147,3358,3348,479,3342,319,1628,3,2161,25,3378,5,2310,33,2438,2306,11111111111111111111
217,3952771,65592,0,31465494,812477325,2479367568127065763832669187,2478301477751725582268243970,420,420,58331028787201,11538433,969330751352,11859420162,11271,73770464382308,140950221104743,8646,163,17845,65501,1259,829,2144,2139,1150,3358,3348,478,3343,319,1628,3,2159,26,3379,5,2313,34,2438,2296,11111111111111111111
218,3952771,65592,0,31465494,812477325,2479367568127065763832669187,2478301477751725582268243970,420,420,58331028787201,11538433,969330751352,11859420162,11271,73770464382308,140950221104743,8646,163,17845,65501,1259,829,2144,2139,1150,3358,3348,478,3343,319,1628,3,2159,26,3379,5,2313,34,2438,2296,11111111111111111111
219,3952831,65593,0,31465494,812478348,2479367568127066863344296963,2477091371340489136170606594,420,420,1100586420225,1050625,968257009528,12933160962,11271,60314327059629,141130629785276,7947,267,17845,65501,1259,829,2143,2137,1142,3358,3349,480,3343,319,1628,3,2158,25,3379,5,2316,34,2437,2298,11111111111111111111
220,3952831,65593,0,31465494,812478348,2479367568127066863344296963,2477091371340489136170606594,420,420,1100586420225,1050625,968257009528,12933160962,11271,60314327059629,141130629785276,7947,267,17845,65501,1259,829,2143,2137,1142,3358,3349,480,3343,319,1628,3,2158,25,3379,5,2316,34,2437,2298,11111111111111111111
221,3952891,65594,0,31465494,812478348,3717306426820826420832117763,2478300297160103765345312770,420,420,1100586419201,1049601,968257009529,11859419138,11271,71051745234146,140954543138382,8566,213,17856,65501,1259,829,2141,2137,1143,3358,3348,480,3343,319,1628,3,2157,25,3378,15,2307,34,2438,2301,11111111111111111111
222,3952891,65594,0,31465494,812478348,3717306426820826420832117763,2478300297160103765345312770,420,420,1100586419201,1049601,968257009529,11859419138,11271,71051745234146,140954543138382,8566,213,17856,65501,1259,829,2141,2137,1143,3358,3348,480,3343,319,1628,3,2157,25,3378,15,2307,34,2438,2301,11111111111111111111
223,3952951,65595,0,31465494,812478347,6193186505391586969556624386,2478300296007182260739514370,420,420,1100586419201,1049601,968257009529,12933160962,11272,77820618017966,141255183312466,5927,961,17856,65501,1259,829,2141,2136,1142,3358,3349,477,3343,318,1628,3,2156,26,3379,5,2314,34,2437,2297,11111111111111111111
224,3952951,65595,0,31465494,812478347,6193186505391586969556624386,2478300296007182260739514370,420,420,1100586419201,1049601,968257009529,12933160962,11272,77820618017966,141255183312466,5927,961,17856,65501,1259,829,2141,2136,1142,3358,3349,477,3343,318,1628,3,2156,26,3379,5,2314,34,2437,2297,11111111111111111111
225,3953011,65596,0,31465493,812477323,3717306426820826419757327363,2478300296007181161226838018,420,420,1100586419201,1049601,970404493176,12933160962,11271,59506874191146,140993189979850,5840,713,17856,65501,1259,829,2140,2135,1143,3358,3348,477,3342,318,1628,3,2155,25,3378,5,2315,34,2438,2298,11111111111111111111
226,3953011,65596,0,31465493,812477323,3717306426820826419757327363,2478300296007181161226838018,420,420,1100586419201,1049601,970404493176,12933160962,11271,59506874191146,140993189979850,5840,713,17856,65501,1259,829,2140,2135,1143,3358,3348,477,3342,318,1628,3,2155,25,3378,5,2315,34,2438,2298,11111111111111111111
227,3953071,65597,0,31465494,812477323,2479365206943825428520641539,2478300297160102665834733570,420,420,1100586419201,1049601,967183267705,11859420162,12295,76802708999367,141298138818175,9230,575,17856,65501,1259,829,2139,2134,1146,3358,3348,479,3343,319,1628,3,2155,25,3379,4,2305,34,2438,2302,11111111111111111111
228,3953071,65597,0,31465494,812477323,2479365206943825428520641539,2478300297160102665834733570,420,420,1100586419201,1049601,967183267705,11859420162,12295,76802708999367,141298138818175,9230,575,17856,65501,1259,829,2139,2134,1146,3358,3348,479,3343,319,1628,3,2155,25,3379,4,2305,34,2438,2302,11111111111111111111
229,3953131,65598,0,31465494,812477322,3717305246229204603908137987,2478300297160103765345311746,420,420,1100586419201,2098177,967183267704,11858370562,11271,68792585424241,141134933010117,8014,821,17856,65501,1259,829,2139,2133,1144,3358,3348,479,3343,319,1629,3,2154,25,3379,4,2314,34,2437,2296,11111111111111111111
230,3953131,65598,0,31465494,812477322,3717305246229204603908137987,2478300297160103765345311746,420,420,1100586419201,2098177,967183267704,11858370562,11271,68792585424241,141134933010117,8014,821,17856,65501,1259,829,2139,2133,1144,3358,3348,479,3343,319,1629,3,2154,25,3379,4,2314,34,2437,2296,11111111111111111111
231,3953191,65599,0,31465494,812478347,3717305246229205702346023938,2478300296007183360251142146,420,420,1100586419201,1049601,966109525880,12933161986,11271,73946557123962,140920171931303,7616,331,17845,65501,1259,829,2138,2133,1145,3358,3349,478,3343,318,1629,3,2153,25,3378,4,2313,34,2437,2295,11111111111111111111
232,3953191,65599,0,31465494,812478347,3717305246229205702346023938,2478300296007183360251142146,420,420,1100586419201,1049601,966109525880,12933161986,11271,73946557123962,140920171931303,7616,331,17845,65501,1259,829,2138,2133,1145,3358,3349,478,3343,318,1629,3,2153,25,3378,4,2313,34,2437,2295,11111111111111111111
233,3953251,65600,0,31465494,812478346,6193185324799966253219062787,2478301476598801878639190018,420,420,1100586419201,1049601,966109526905,12932113410,11271,71691688021124,140808508417746,5797,186,17845,65501,1259,829,2137,2132,1146,3357,3348,477,3342,317,1629,3,2152,25,3378,4,2317,34,2438,2300,11111111111111111111
234,3953251,65600,0,31465494,812478346,6193185324799966253219062787,2478301476598801878639190018,420,420,1100586419201,1049601,966109526905,12932113410,11271,71691688021124,140808508417746,5797,186,17845,65501,1259,829,2137,2132,1146,3357,3348,477,3342,317,1629,3,2152,25,3378,4,2317,34,2438,2300,11111111111111111111
235,3953311,65601,0,31465494,812477322,2479364026352204711110386691,2478300297160104864857989122,420,420,1100586419201,1049601,966109525881,11859420162,11271,62667973004676,140769843619496,7393,452,17845,65501,1259,829,2137,2132,1150,3358,3348,481,3342,321,1630,3,2151,25,3378,5,2311,34,2437,2293,11111111111111111111
236,3953311,65601,0,31465494,812477322,2479364026352204711110386691,2478300297160104864857989122,420,420,1100586419201,1049601,966109525881,11859420162,11271,62667973004676,140769843619496,7393,452,17845,65501,1259,829,2137,2132,1150,3358,3348,481,3342,321,1630,3,2151,25,3378,5,2311,34,2437,2293,11111111111111111111
237,3953371,65602,0,31465495,812478345,2479364026352204710036644867,2478301476598802978149769218,420,420,1100586419201,1049601,966109525880,11859419138,11271,65305083382988,141044728866503,9237,624,17833,65501,1259,829,2136,2131,1144,3357,3348,480,3342,319,1630,3,2151,25,3378,5,2316,34,2438,2299,11111111111111111111
238,3953371,65602,0,31465495,812478345,2479364026352204710036644867,2478301476598802978149769218,420,420,1100586419201,1049601,966109525880,11859419138,11271,65305083382988,141044728866503,9237,624,17833,65501,1259,829,2136,2131,1144,3357,3348,480,3342,319,1630,3,2151,25,3378,5,2316,34,2438,2299,11111111111111111111
239,3953431,65603,0,31465494,812477321,2479364026352205810622014466,2478300297160102665833683970,420,420,2200098046977,1049601,965036832632,11859420162,11271,70136921132253,140593756645019,9050,233,17821,65501,1259,829,2135,2130,1143,3357,3348,479,3343,319,1631,3,2150,25,3378,5,2316,34,2437,2299,11111111111111111111
240,3953431,65603,0,31465494,812477321,2479364026352205810622014466,2478300297160102665833683970,420,420,2200098046977,1049601,965036832632,11859420162,11271,70136921132253,140593756645019,9050,233,17821,65501,1259,829,2135,2130,1143,3357,3348,479,3343,319,1631,3,2150,25,3378,5,2316,34,2437,2299,11111111111111111111
241,3953491,65604,0,31465494,812478344,3717302885045964267523417091,2478300296007181161227886594,420,420,1100586419201,2098177,965035784056,11859420162,11271,74977341869456,141216535815893,9318,331,17821,65501,1259,829,2134,2129,1144,3357,3348,486,3342,318,1631,3,2149,25,3377,15,2315,34,2438,2297,11111111111111111111
242,3953491,65604,0,31465494,812478344,3717302885045964267523417091,2478300296007181161227886594,420,420,1100586419201,2098177,965035784056,11859420162,11271,74977341869456,141216535815893,9318,331,17821,65501,1259,829,2134,2129,1144,3357,3348,486,3342,318,1631,3,2149,25,3377,15,2315,34,2438,2297,11111111111111111111
243,3953551,65605,0,31465494,812478344,6193182963616724818396455938,2478300296007182260738465794,420,420,1100586419201,1049601,965035784056,12932113410,11271,63930692340964,141169272694425,5558,395,17809,65501,1259,829,2134,2129,1143,3357,3348,477,3343,318,1632,3,2148,26,3378,5,2310,34,2439,2293,11111111111111111111
244,3953551,65605,0,31465494,812478344,6193182963616724818396455938,2478300296007182260738465794,420,420,1100586419201,1049601,965035784056,12932113410,11271,63930692340964,141169272694425,5558,395,17809,65501,1259,829,2134,2129,1143,3357,3348,477,3343,318,1632,3,2148,26,3378,5,2310,34,2439,2293,11111111111111111111
245,3953611,65606,0,31465494,812478344,2479362845760583992625341442,2478300297160103765346361346,420,420,1100586419201,1049601,967183267704,11859420162,11272,64171203955849,141126339208825,9066,664,17797,65501,1259,829,2133,2128,1150,3357,3348,477,3343,318,1633,3,2148,26,3377,5,2307,34,2438,2304,11111111111111111111
246,3953611,65606,0,31465494,812478344,2479362845760583992625341442,2478300297160103765346361346,420,420,1100586419201,1049601,967183267704,11859420162,11272,64171203955849,141126339208825,9066,664,17797,65501,1259,829,2133,2128,1150,3357,3348,477,3343,318,1633,3,2148,26,3377,5,2307,34,2438,2304,11111111111111111111
247,3953671,65607,0,31465494,812478344,3717302885045964268598207490,2478300297160104864857989122,420,420,1100586419201,1049601,963960993656,11859419138,11271,65017316183219,141113445525136,9127,166,17785,65501,1259,829,2132,2128,1146,3357,3348,480,3343,320,1633,3,2147,25,3377,5,2317,34,2438,2300,11111111111111111111
248,3953671,65607,0,31465494,812478344,3717302885045964268598207490,2478300297160104864857989122,420,420,1100586419201,1049601,963960993656,11859419138,11271,65017316183219,141113445525136,9127,166,17785,65501,1259,829,2132,2128,1146,3357,3348,480,3343,320,1633,3,2147,25,3377,5,2317,34,2438,2300,11111111111111111111
249,3953731,65608,0,31465494,812478343,2479361665168963276287779842,1240360257874722390934560770,420,420,1100586419201,1049601,963963090808,11858370562,11272,74264372251949,141242299131498,8862,236,17773,65501,1259,829,2132,2126,1144,3358,3348,481,3343,320,1634,3,2146,25,3377,5,2313,34,2437,2296,11111111111111111111
250,3953731,65608,0,31465494,812478343,2479361665168963276287779842,1240360257874722390934560770,420,420,1100586419201,1049601,963963090808,11858370562,11272,74264372251949,141242299131498,8862,236,17773,65501,1259,829,2132,2126,1144,3358,3348,481,3343,320,1634,3,2146,25,3377,5,2313,34,2437,2296,11111111111111111111
251,3953791,65609,0,31465494,812477320,3717301704454343550113162242,2478301476598802978149769218,420,420,1100586419202,1049601,962888300408,11859420162,11272,75123364203906,141152110913216,9159,404,17761,65501,1259,829,2131,2126,1146,3357,3348,479,3343,318,1635,3,2145,26,3376,5,2310,34,2438,2293,11111111111111111111
252,3953791,65609,0,31465494,812477320,3717301704454343550113162242,2478301476598802978149769218,420,420,1100586419202,1049601,962888300408,11859420162,11272,75123364203906,141152110913216,9159,404,17761,65501,1259,829,2131,2126,1146,3357,3348,479,3343,318,1635,3,2145,26,3376,5,2310,34,2438,2293,11111111111111111111
253,3953851,65610,0,31465494,812478343,6193180602433483383572800514,2478300297160103765345312770,420,420,1100586419201,1049601,962888300408,11859420162,11271,74539261693208,140976002377420,8903,425,17749,65501,1259,829,2130,2126,1147,3357,3348,477,3343,318,1636,3,2144,26,3376,4,2302,34,2438,2300,11111111111111111111
254,3953851,65610,0,31465494,812478343,6193180602433483383572800514,2478300297160103765345312770,420,420,1100586419201,1049601,962888300408,11859420162,11271,74539261693208,140976002377420,8903,425,17749,65501,1259,829,2130,2126,1147,3357,3348,477,3343,318,1636,3,2144,26,3376,4,2302,34,2438,2300,11111111111111111111
255,3953911,65611,0,31465493,812478343,3717301704454343550112113666,2478300297160102665834733570,420,420,1100586419201,1049601,963962042233,11859420162,11271,67349488209181,140787025913552,6548,660,17809,65501,1259,829,2130,2125,1145,3357,3348,479,3343,319,1636,3,2144,25,3376,5,2316,34,2437,2299,11111111111111111111
256,3953911,65611,0,31465493,812478343,3717301704454343550112113666,2478300297160102665834733570,420,420,1100586419201,1049601,963962042233,11859420162,11271,67349488209181,140787025913552,6548,660,17809,65501,1259,829,2130,2125,1145,3357,3348,479,3343,319,1636,3,2144,25,3376,5,2316,34,2437,2299,11111111111111111111
257,3953971,65612,0,31465494,812477319,3717300523862722833775600642,2478300297160101566322057218,420,420,1100586419201,1049601,962888300408,11858370562,11271,68058155125996,141259484636797,6596,940,17737,65501,1259,829,2129,2124,1146,3357,3347,481,3342,320,1637,3,2143,26,3376,4,2308,34,2438,2305,11111111111111111111
258,3953971,65612,0,31465494,812477319,3717300523862722833775600642,2478300297160101566322057218,420,420,1100586419201,1049601,962888300408,11858370562,11271,68058155125996,141259484636797,6596,940,17737,65501,1259,829,2129,2124,1146,3357,3347,481,3342,320,1637,3,2143,26,3376,4,2308,34,2438,2305,11111111111111111111
259,3954031,65613,0,31465494,812478342,3717300523862722833775600642,2478300297160104864856940546,420,420,1100586419201,1049601,962888300408,11858370562,11271,73014541159880,141220830717514,8392,232,17725,65501,1259,829,2128,2124,1145,3357,3348,481,3343,320,1638,3,2142,25,3376,5,2315,34,2438,2297,11111111111111111111
260,3954031,65613,0,31465494,812478342,3717300523862722833775600642,2478300297160104864856940546,420,420,1100586419201,1049601,962888300408,11858370562,11271,73014541159880,141220830717514,8392,232,17725,65501,1259,829,2128,2124,1145,3357,3348,481,3343,320,1638,3,2142,25,3376,5,2315,34,2438,2297,11111111111111111111
261,3954091,65614,0,31465494,812477318,3717299343271102115289506818,2478301476598802978149769218,420,420,1100586419201,1049601,961814558585,11858370562,11271,68771121073524,141023255012980,5923,235,17714,65501,1259,829,2128,2123,1150,3357,3348,482,3343,318,1638,3,2144,25,3375,15,2310,34,2438,2291,11111111111111111111
262,3954091,65614,0,31465494,812477318,3717299343271102115289506818,2478301476598802978149769218,420,420,1100586419201,1049601,961814558585,11858370562,11271,68771121073524,141023255012980,5923,235,17714,65501,1259,829,2128,2123,1150,3357,3348,482,3343,318,1638,3,2144,25,3375,15,2310,34,2438,2291,11111111111111111111
263,3954151,65615,0,31465495,812478342,6193180601280561878965953538,2478300296007181161226838018,420,420,1100586419201,1049601,961814558584,11859419138,11271,75303751781857,141203646457556,9093,155,17702,65501,1259,829,2127,2122,1142,3357,3348,477,3343,318,1639,3,2143,25,3376,5,2307,34,2438,2305,11111111111111111111
264,3954151,65615,0,31465495,812478342,6193180601280561878965953538,2478300296007181161226838018,420,420,1100586419201,1049601,961814558584,11859419138,11271,75303751781857,141203646457556,9093,155,17702,65501,1259,829,2127,2122,1142,3357,3348,477,3343,318,1639,3,2143,25,3376,5,2307,34,2438,2305,11111111111111111111
265,3954211,65616,0,31465494,812477317,3717299343271102115290555394,2478300297160103765345312770,420,420,2200098046977,1049601,962888300408,11859420162,11272,73770453044588,140761256371814,9100,332,17690,65501,1259,829,2126,2122,1151,3357,3348,478,3342,318,1640,3,2142,26,3379,5,2306,34,2437,2306,11111111111111111111
266,3954211,65616,0,31465494,812477317,3717299343271102115290555394,2478300297160103765345312770,420,420,2200098046977,1049601,962888300408,11859420162,11272,73770453044588,140761256371814,9100,332,17690,65501,1259,829,2126,2122,1151,3357,3348,478,3342,318,1640,3,2142,26,3379,5,2306,34,2437,2306,11111111111111111111
267,3954271,65617,0,31465494,813525893,2479358123394101124053869570,2478300296007180061715210242,420,420,1100586419201,1049601,961814558585,12933161986,11271,62642202348777,140993193256567,6922,758,17678,65501,1259,829,2126,2121,1143,3357,3348,479,3343,318,1641,3,2142,26,3379,5,2314,34,2438,2297,11111111111111111111
268,3954271,65617,0,31465494,813525893,2479358123394101124053869570,2478300296007180061715210242,420,420,1100586419201,1049601,961814558585,12933161986,11271,62642202348777,140993193256567,6922,758,17678,65501,1259,829,2126,2121,1143,3357,3348,479,3343,318,1641,3,2142,26,3379,5,2314,34,2438,2297,11111111111111111111
269,3954331,65618,0,31465494,812477317,3717299343271102115289505794,2478300297160104864857989122,420,420,1100586419201,1049601,960740816760,12932112386,11271,70347366600122,140812806596203,8706,458,17666,65501,1259,829,2125,2120,1143,3357,3348,481,3342,320,1642,3,2140,26,3378,5,2313,34,2438,2295,11111111111111111111
270,3954331,65618,0,31465494,812477317,3717299343271102115289505794,2478300297160104864857989122,420,420,1100586419201,1049601,960740816760,12932112386,11271,70347366600122,140812806596203,8706,458,17666,65501,1259,829,2125,2120,1143,3357,3348,481,3342,320,1642,3,2140,26,3378,5,2313,34,2438,2295,11111111111111111111
271,3954391,65619,0,31465494,812478341,2479359302832800335783535618,2478300297160103765345312770,420,420,1100586419201,1049601,960740816761,11859419138,11271,65232067169590,141018965550605,7674,653,17654,65501,1259,829,2124,2120,1143,3357,3348,480,3343,319,1642,3,2140,25,3378,4,2309,34,2437,2306,11111111111111111111
272,3954391,65619,0,31465494,812478341,2479359302832800335783535618,2478300297160103765345312770,420,420,1100586419201,1049601,960740816761,11859419138,11271,65232067169590,141018965550605,7674,653,17654,65501,1259,829,2124,2120,1143,3357,3348,480,3343,319,1642,3,2140,25,3378,4,2309,34,2437,2306,11111111111111111111
