Unnamed: 0,nan,nan.1,platform.obc.GPS.LastGpsTimeLog,platform.obc.GPS.UpdateGpsTimeLog[0:1],platform.obc.OBC.mramCorrectableErrorCount,platform.obc.OBC.mramNonCorrectableErrorCount,platform.obc.OBC.flashCorrectableErrorCount,platform.obc.OBC.flashNonCorrectableErrorCount,platform.obc.MagnetometerI2C.nackAddrCount,platform.obc.GPS.UpdateGpsTimeLog_1,platform.obc.GPS.UpdateGpsTimeLog_0,platform.obc.MagnetometerI2C.hwStateErrorCount,platform.obc.MagnetometerI2C.isrErrorCount,platform.obc.I2CBusA.nackAddrCount,platform.obc.I2CBusA.hwStateErrorCount,platform.obc.I2CBusA.isrErrorCount,platform.obc.I2CBusB.nackAddrCount,platform.obc.I2CBusB.hwStateErrorCount,platform.obc.I2CBusB.isrErrorCount,platform.obc.I2CBusC.nackAddrCount,platform.obc.I2CBusC.hwStateErrorCount,platform.obc.I2CBusC.isrErrorCount,platform.obc.GPSSerial.txFailures,platform.obc.GPSSerial.rxFailures,platform.obc.GPSSerial.framingErrors,platform.obc.GPSSerial.parityErrors,platform.obc.GPSSerial.overrunErrors,platform.BAT.status,platform.BAT.lastError,platform.BAT.autoResetCount,platform.BAT.brownOutResetCount,platform.EPS.status,platform.EPS.lastError,platform.EPS.softResetCount,platform.ADCS.fss1ErrorCodes,platform.ADCS.fss1ErrorCount,platform.ADCS.busCurrents[0],platform.ADCS.boardTemperature,platform.ADCS.detumbleCounter,platform.CMC.txPacketCount,platform.CMC.txOverrunErrorCount,platform.CMC.rxDtmfAndCounter,platform.CMC.rxPacketCount,platform.CMC.rxDroppedErrorCount,platform.CMC.rxCrcErrorCount,platform.CMC.rxOverrunErrorCount,platform.CMC.rxProtocolErrorCount,platform.CMC.temperatureSmps,platform.CMC.voltage3V3,platform.CMC.current3V3,payload.GMOD.DP_GMODMSPTemp,payload.GMOD.DP_ErrMessages,payload.GMOD.DP_FlashRolloverCounter,payload.GMOD.DP_CPLDTimeoutCounter,payload.GMOD.DP_SegFaultCount,payload.GMOD.DP_SegFaultType,payload.GMOD.DP_CorrBitErrorCount,payload.GMOD.DP_NonCorrBitErrorCount,payload.GMOD.DP_ForbiddenReadCount,core.EventDispatcher.overflowCount,EMOD.Serial.txFailures,EMOD.Serial.rxFailures,EMOD.Serial.framingErrors,EMOD.Serial.parityErrors,EMOD.Serial.overrunErrors,GMOD.Serial.txFailures,GMOD.Serial.rxFailures,GMOD.Serial.framingErrors,GMOD.Serial.parityErrors,GMOD.Serial.overrunErrors,comms.HMAC.authenticatedFrameCount,comms.HMAC.failedAuthenticationCount,comms.HMAC.droppedFrameCount,comms.HMAC.seqResyncCount,mission.ModeManager.EntryError,mission.ModeManager.ExitError,cdh.telemetry.DataPool.paramValid
10,8356623,13927,0000101010010111001011101101010000001001001101001111101101000000,0000101010010111001011101101010000001001001101001111101101000000,0,0,0,0,0,540800580,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,0,57930,14628,38783,200,46820,0,159,7617,0,23,0,0,21,828,17737,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
11,8357223,13928,0000101010010111001011101101010000001001001101001111101101000000,0000101010010111001011101101010000001001001101001111101101000000,0,0,0,0,0,540800580,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,11,57930,16920,39056,200,46830,0,159,7617,0,23,0,0,22,828,17749,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
12,8357823,13929,0000101010010111001100010010000100010010100001010101110001000000,0000101010010111001100010010000100010010100001010101110001000000,0,0,0,0,0,540808745,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,14954,39333,200,46840,0,159,7617,0,23,0,0,24,828,17809,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
13,8358423,13930,0000101010010111001100010100100011010100001000100001110001000000,0000101010010111001100010100100011010100001000100001110001000000,0,0,0,0,0,540808745,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16865,39721,200,46850,0,159,7617,0,23,0,0,26,829,17904,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
14,8359023,13931,0000101010010111001100010100100011010100001000100001110001000000,0000101010010111001100010100100011010100001000100001110001000000,0,0,0,0,0,540808745,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17258,39605,200,46860,0,159,7617,0,23,0,0,25,829,17892,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
15,8359623,13932,0000101010010111001100101001011111100100100101001101110011000000,0000101010010111001100101001011111100100100101001101110011000000,0,0,0,0,0,540808753,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,14869,39203,200,46870,0,159,7617,0,23,0,0,22,829,17797,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
16,8360223,13933,0000101010010111001100101001011111100100100101001101110011000000,0000101010010111001100101001011111100100100101001101110011000000,0,0,0,0,0,540808753,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16608,38652,200,46880,0,159,7617,0,23,0,0,18,829,17690,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
17,8360823,13934,0000101010010111001100101001011111110011110101110001110011000000,0000101010010111001100101001011111110011110101110001110011000000,0,0,0,0,0,540808753,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17002,38187,200,46890,0,159,7617,0,23,0,0,16,828,17606,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
18,8361423,13935,0000101010010111001100101001011111110011110101110001110011000000,0000101010010111001100101001011111110011110101110001110011000000,0,0,0,0,0,540808753,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16584,38181,200,46900,0,159,7617,0,23,0,0,16,828,17583,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
19,8362023,13936,0000101010010111001101001110001001100000010101001001111010000000,0000101010010111001101001110001001100000010101001001111010000000,0,0,0,0,0,540808836,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16699,38438,200,46910,0,159,7617,0,23,0,0,17,828,17606,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
