nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
435688,1452,140769848010427,76149882227960,32791,8225,2671509635696,000000110000001100000000,39693,39541,0,0,0,0,32740,32740,20,11,624,610,622,3320,1710,17730,9915,35017,32775,57116889587968669784519761100537856,55427,0,0,0,0,1111111111
435988,1453,140937356388035,70532061400300,32790,5855,2688689767030,000000110000001100000000,39919,39754,0,0,0,0,32740,32740,20,11,630,614,626,3308,1655,16422,9923,35088,32814,57116889587968669784519761100537856,56321,0,0,0,0,1111111111
436288,1454,140662484903617,62161169878157,32791,8024,2705870029434,000000110000001100000000,40148,39968,0,0,0,0,32740,32740,20,11,634,620,630,3213,1651,14473,9921,35186,32750,57116889587968669784519761100537856,57218,0,0,0,0,1111111111
436588,1455,141049031042638,80676777036951,32793,8984,2731640095360,000000110000001100000000,40366,40178,0,0,0,0,32740,32740,20,11,640,624,636,3223,1699,18784,9806,35172,32840,57116889587968669784519761100537856,58112,0,0,0,0,1111111111
436888,1456,141036142339782,70931497880672,32791,9115,2748820226690,000000110000001100000000,40541,40349,0,0,0,0,32740,32740,20,11,642,628,640,3168,1724,16515,9926,35114,32837,57116889587968669784519761100537856,59009,0,0,0,0,1111111111
437188,1457,141160689575618,64149744323633,32792,8392,2757410292358,000000110000001100000000,40651,40479,0,0,0,0,32740,32740,20,11,646,630,642,3121,1721,14936,9922,35010,32866,57116889587968669784519761100537856,59903,0,0,0,0,1111111111
437488,1458,140864345351851,73272255122520,32792,8995,2757410292358,000000110000001100000000,40579,40487,0,0,0,0,32740,32740,20,11,646,630,642,3160,1725,17060,9899,35140,32797,57116889587968669784519761100537856,60800,0,0,0,0,1111111111
437788,1459,140714013173405,67727451163849,32792,8812,2740230292098,000000110000001100000000,40395,40339,0,0,0,0,32740,32740,20,11,642,628,638,3273,1707,15769,9885,35013,32762,57116889587968669784519761100537856,61694,0,0,0,0,1111111111
438088,1460,140499261400782,62878433283272,32792,8813,2723050029694,000000110000001100000000,40153,40112,0,0,0,0,32740,32740,20,11,638,622,634,3272,1710,14640,9934,34961,32712,57116889587968669784519761100537856,62591,0,0,0,0,1111111111
438388,1461,140993196861104,71373878201628,32791,6392,2697279832696,000000110000001100000000,39882,39858,0,0,0,0,32740,32740,20,11,632,616,628,3356,1704,16618,9904,35178,32827,57116889587968669784519761100537856,63485,0,0,0,0,1111111111
438688,1462,141109141120691,79100516437172,32791,5538,2671509635698,000000110000001100000000,39601,39579,0,0,0,0,32740,32740,20,11,626,610,622,3252,1583,18417,9907,34875,32854,57116889587968669784519761100537856,64382,0,0,0,0,1111111111
438988,1463,141207940245179,64690902797604,32790,9302,2645739438700,000000110000001100000000,39310,39298,0,0,0,0,32740,32740,20,11,620,604,616,3364,1608,15062,9915,35102,32877,57116889587968669784519761100537856,65276,0,0,0,0,1111111111
439289,1464,141031840556724,71343813430568,32789,8256,2619969241702,000000110000001100000000,39039,39012,0,0,0,0,32740,32740,20,11,614,598,610,3368,1704,16611,9908,35010,32836,57116889587968669784519761100537856,637,0,0,0,0,1111111111
439589,1465,140744081286751,68642279001509,32791,7182,2602789241442,000000110000001100000000,38925,38853,0,0,0,0,32740,32740,20,11,610,596,606,3493,1704,15982,9823,35064,32769,57116889587968669784519761100537856,1532,0,0,0,0,1111111111
439889,1466,141053321553616,65021621964129,32791,6542,2602789110370,000000110000001100000000,38942,38837,0,0,0,0,32740,32740,20,11,610,594,606,3425,1710,15139,9936,35104,32841,57116889587968669784519761100537856,2428,0,0,0,0,1111111111
440189,1467,141014663571145,80118423489993,32790,6788,2611379176036,000000110000001100000000,39020,38903,0,0,0,0,32740,32740,20,11,612,596,608,3529,1580,18654,9929,35054,32832,57116889587968669784519761100537856,3325,0,0,0,0,1111111111
440489,1468,140838552938032,68732469841177,32792,9064,2619969241702,000000110000001100000000,39150,39040,0,0,0,0,32740,32740,20,11,614,598,610,3353,1651,16003,9776,34795,32791,57116889587968669784519761100537856,4219,0,0,0,0,1111111111
440789,1469,140988895798875,69819091258753,32791,8730,2637149373034,000000110000001100000000,39333,39214,0,0,0,0,32740,32740,20,11,618,602,614,3457,1570,16256,9819,35085,32826,57116889587968669784519761100537856,5116,0,0,0,0,1111111111
441089,1470,141134928356817,62856951565691,32790,8494,2654329504366,000000110000001100000000,39525,39393,0,0,0,0,32740,32740,20,11,622,606,618,3451,1605,14635,9681,35141,32860,57116889587968669784519761100537856,6013,0,0,0,0,1111111111
441389,1471,140516453000811,63277860064585,32792,7929,2671509635698,000000110000001100000000,39710,39579,0,0,0,0,32740,32740,20,11,626,610,622,3401,1631,14733,9835,35140,32716,57116889587968669784519761100537856,6907,0,0,0,0,1111111111
441689,1472,141126322497102,70879956110620,32792,8674,2688689898102,000000110000001100000000,39931,39771,0,0,0,0,32740,32740,20,11,630,616,626,3356,1691,16503,9806,34898,32858,57116889587968669784519761100537856,7804,0,0,0,0,1111111111
441989,1473,141031831774933,75213579553981,32791,7664,2705870029434,000000110000001100000000,40156,39978,0,0,0,0,32740,32740,20,11,634,620,630,3261,1713,17512,9941,34876,32836,57116889587968669784519761100537856,8698,0,0,0,0,1111111111
442289,1474,140606634534472,75054655016089,32793,6485,2731640095360,000000110000001100000000,40370,40193,0,0,0,0,32740,32740,20,11,640,624,636,3225,1549,17475,9800,34945,32737,57116889587968669784519761100537856,9595,0,0,0,0,1111111111
442589,1475,140525032580816,68655162985643,32791,9328,2748820226690,000000110000001100000000,40539,40360,0,0,0,0,32740,32740,20,11,642,628,640,3243,1690,15985,9936,34982,32718,57116889587968669784519761100537856,10492,0,0,0,0,1111111111
442889,1476,141164981855892,74685298576437,32793,7351,2757410292358,000000110000001100000000,40650,40481,0,0,0,0,32740,32740,20,11,646,630,642,3125,1713,17389,9876,34969,32867,57116889587968669784519761100537856,11386,0,0,0,0,1111111111
443189,1477,140860039964338,73783353150642,32793,7161,2757410292358,000000110000001100000000,40568,40487,0,0,0,0,32740,32740,20,11,646,630,642,3250,1678,17179,9906,34981,32796,57116889587968669784519761100537856,12283,0,0,0,0,1111111111
443489,1478,141083392616155,67675905461364,32790,8775,2740230292098,000000110000001100000000,40402,40346,0,0,0,0,32740,32740,20,11,642,628,638,3188,1614,15757,9947,35200,32848,57116889587968669784519761100537856,13180,0,0,0,0,1111111111
443789,1479,141096262837742,72189917531425,32792,6621,2723050029694,000000110000001100000000,40172,40137,0,0,0,0,32740,32740,20,11,638,622,634,3361,1636,16808,9710,34976,32851,57116889587968669784519761100537856,14077,0,0,0,0,1111111111
444089,1480,140683945846326,66494791879740,32793,6171,2697279832696,000000110000001100000000,39900,39878,0,0,0,0,32740,32740,20,11,632,616,628,3132,1651,15482,9782,34974,32755,57116889587968669784519761100537856,14971,0,0,0,0,1111111111
444389,1481,140409066497752,62917083663708,32792,8195,2671509635698,000000110000001100000000,39614,39593,0,0,0,0,32740,32740,20,11,626,610,622,3420,1644,14649,9944,34952,32691,57116889587968669784519761100537856,15868,0,0,0,0,1111111111
