nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
7346745,24489,141220829996642,78065427352894,32791,5393,2654329504366,000000110000001100000011,39388,39362,0,0,0,0,32723,32723,25,25,622,606,618,3390,1553,18176,9826,35176,32880,129809441727716775377536728396988416,57930,0,7346136,1230,340,1111111111
7347045,24490,140860028364492,73791936793865,32789,8283,2628559307368,000000110000001100000011,39131,39085,0,0,0,0,32723,32723,25,25,616,600,612,3337,1582,17181,9932,34804,32796,129809441727716775377536728396988416,57930,0,7346136,1230,340,1111111111
7347345,24491,140902995469890,63866267831616,32794,6703,2602789110370,000000110000001100000011,38844,38798,0,0,0,0,32723,32723,25,25,610,594,606,3392,1589,14870,9794,35070,32806,129809441727716775377536728396988416,57930,0,7346136,1230,340,1111111111
7347645,24492,140855747552882,75986665016811,32791,7553,2577018913374,000000110000001100000011,38594,38552,0,0,0,0,32723,32723,25,25,606,588,600,3563,1581,17692,9842,35020,32795,129809441727716775377536728396988416,57930,0,7346136,1230,341,1111111111
7347945,24493,141147793270475,76656679783901,32793,8900,2559838782042,000000110000001100000011,38394,38393,0,0,0,0,32723,32723,25,25,602,584,596,3549,1579,17848,9931,34836,32863,129809441727716775377536728396988416,57930,0,7346136,1230,341,1111111111
7348245,24494,141289549669949,71695988690554,32792,8043,2551248847448,000000110000001100000011,38293,38302,0,0,0,0,32723,32723,25,25,600,584,594,3706,1520,16693,9789,35179,32896,129809441727716775377536728396988416,57930,0,7346136,1230,341,1111111111
7348545,24495,141147803887253,65305083514391,32791,7425,2551248716376,000000110000001100000011,38302,38282,0,0,0,0,32723,32723,25,25,600,582,594,3607,1614,15205,9877,34998,32863,129809441727716775377536728396988416,57930,0,7346136,1230,341,1111111111
7348845,24496,141147811620317,66091060301322,32791,8898,2559838782040,000000110000001100000011,38435,38330,0,0,0,0,32723,32723,25,25,600,584,596,3594,1580,15388,9693,35116,32863,129809441727716775377536728396988416,57930,0,7346136,1230,341,1111111111
7349145,24497,140842867304139,65987978726930,32791,5690,2577018913372,000000110000001100000011,38681,38513,0,0,0,0,32723,32723,25,25,604,588,600,3602,1544,15364,9931,35091,32792,129809441727716775377536728396988416,57930,0,7348901,1231,341,1111111111
7349445,24498,141259483915906,74028149247470,32788,8759,2594199044706,000000110000001100000011,38905,38727,0,0,0,0,32723,32723,25,25,610,592,604,3566,1418,17236,9858,35164,32889,129809441727716775377536728396988416,57930,0,7348901,1231,341,1111111111
